financial_flag,cluster,issuer_years,issuers,median_scorecard_credit_score,median_leverage_risk,median_liquidity_risk,median_earnings_risk,median_operating_cashflow_risk,median_debt_service_risk,median_structural_distress_risk,median_liabilities_risk,median_debt_load_risk,median_equity_buffer_risk,median_cash_buffer_risk,median_current_liquidity_risk,median_quick_liquidity_risk,median_profitability_risk,median_cashflow_risk,median_coverage_risk,median_fcf_risk,median_negative_equity_flag,median_liabilities_exceed_assets_flag,median_log_assets,median_small_company_flag,median_mid_company_flag,median_large_company_flag,median_liabilities_to_assets,median_debt_to_assets,median_equity_to_assets,median_cash_to_assets,median_net_income_to_assets,median_cfo_to_assets,median_current_ratio,median_quick_ratio,median_revenue_to_assets,median_interest_coverage,median_cfo_to_liabilities,median_fcf_to_debt,median_operating_margin,median_gross_margin,rating_style_rank,rating_style_label
Non-financial,1,6611,1809,10.406647341722115,0.06896319731161624,0.06838214171669904,0.0,0.0,0.0,0.0,0.0066835217743425246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.28850805309285,0.0,0.0,1.0,0.45367593697588837,0.23482679766240366,0.4843606444572433,0.11547338526094958,0.05167266257506233,0.09504950449995717,2.3521382628762213,1.2638703241607985,0.6063532007086548,6.634322082396871,0.2006249405792989,0.2588751936079321,0.11350654750054481,0.372473987176803,1,1 - Low risk / investment-grade-like
Non-financial,2,4115,1167,32.521367819895026,0.2629919920315402,0.7507810655080304,0.16404911355307406,0.0,0.12603898732456817,0.0,0.395111658167751,0.07470122257581582,0.2405036590373441,0.7919814374686979,0.8008679666073958,0.8790645522985745,0.16404911355307406,0.0,0.0,0.0,0.0,0.0,22.907292593928908,0.0,0.0,1.0,0.6673114119922631,0.2948207335454895,0.3037985363850624,0.028721670627817185,0.0335950886446926,0.08092267475005578,0.9989150417407553,0.3407015857760692,0.4789065927452709,3.195530726256983,0.12360008643934073,0.17284987974635868,0.13234295200720642,0.32208096732887775,2,2 - Moderate risk / lower-investment-grade-like
Non-financial,0,2918,1357,51.49914955778566,0.2700813276432877,0.5734315589922249,0.9737047899245024,0.5346693334005529,0.8234945055355538,0.0,0.336748046509889,0.02173662452343031,0.18037891410356374,0.4548473578095632,0.6226401998497184,0.6290663950999813,0.9737047899245024,0.5346693334005529,1.0,0.6257158281388466,0.0,0.0,20.372661881554965,0.0,0.0,1.0,0.635211425580439,0.2630419747140582,0.3278484343585745,0.05906373779713932,-0.04737047899245024,0.02118637332593918,1.221699750187852,0.528200203675014,0.5052185500493089,-1.0271041369472182,0.0310116644235083,-0.006428957034711672,-0.05260646191137959,0.3322433726497723,3,3 - Elevated risk / leveraged
Non-financial,3,5529,1733,58.33333333333333,0.03446375681107024,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,18.896821757118254,0.0,0.0,0.0,0.29910615627442316,0.11807582753923182,0.6039284847008215,0.26583711559068773,-0.2541937675468833,-0.19393212396343107,4.468525548545136,2.1292409535920673,0.22995410481042802,-12.549166666666666,-0.5168645180908142,-1.1569587300175508,-0.40118618311234294,0.41709051459585483,4,4 - High risk / speculative
Non-financial,4,2092,1108,71.62549817264427,0.7184706198759544,0.5375202368137864,1.0,1.0,1.0,1.0,1.0,0.3193603628420896,1.0,0.0,0.6780521198184721,0.5755160349995512,1.0,1.0,1.0,1.0,1.0,0.0,19.083987330790357,0.0,0.0,0.0,1.0215989272061026,0.4416162177052537,-0.153169106886303,0.12512273552984615,-0.15064063799403737,-0.06615831306521916,1.15243485022691,0.5683629737503366,0.4692156434345641,-3.6578793197240627,-0.09404885235007886,-0.21797758494193842,-0.18067088510024035,0.35000498156819765,5,5 - Distressed / near-default proxy
